fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.382,0.425,0.971,0.438,0.0,0.084,0.325,0.623,,0.316,10632,39,34,6,404,6306,3897,0,19,134,37587,60
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.278,0.529,0.944,0.547,,0.343,0.444,0.696,,0.996,5149,37,32,0,467,3106,1292,0,284,162,37587,60
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.682,0.352,0.745,0.532,0.042,0.057,,0.481,,0.836,1494,48,32,24,542,0,794,0,134,180,37596,60
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.218,0.42,0.766,0.585,,0.189,,0.553,,0.847,938,37,26,0,391,0,488,0,59,120,25050,60
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.582,0.21,0.531,0.273,,0.0,,0.273,,,658,34,24,0,153,0,505,0,0,122,25069,60
Luke - Diel Drivers/2026-05-06/1_95,0.005,-0.113,0.08,0.461,0.106,,0.006,,0.106,,,1899,77,55,0,482,0,1417,0,0,178,37635,60
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.15,0.349,0.822,0.459,0.0,0.063,,0.417,,0.86,1553,26,15,5,427,0,1014,0,107,117,25063,60
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-1.038,0.171,0.803,0.186,0.0,0.0,,0.186,,,2676,36,32,28,188,0,2460,0,0,111,25056,60
total,0.005,-1.18,0.317,0.755,0.391,0.01,0.093,0.384,0.417,,0.771,24999,334,250,63,3054,9412,11867,0,603,1124,250643,60
