fold,fpr,threshold,sensitivity,precision,buzz_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.872,0.013,0.5,2046,26,7303,40
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.685,0.224,0.877,991,31,7228,94
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-2.406,0.03,0.221,296,31,6647,6
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.591,0.0,0.0,144,23,4761,18
Luke - Diel Drivers/2026-05-06/1_95,0.005,-1.236,0.017,0.17,408,34,7264,71
total,0.005,-1.758,0.057,0.354,3885,145,33203,40
