fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.605,0.585,0.979,0.601,0.0,0.207,0.526,0.718,,0.5,2144,1,82,1256,801,0,4,27,7617,400
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.71,0.507,0.941,0.525,,0.33,0.384,0.755,,1.0,1031,0,94,618,261,0,58,32,7540,400
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-2.036,0.298,0.715,0.466,0.0,0.009,,0.404,,0.852,305,4,108,0,166,0,27,36,7562,400
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.783,0.458,0.783,0.64,,0.203,,0.6,,1.0,190,0,79,0,100,0,11,24,5024,400
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.856,0.27,0.606,0.343,,0.03,,0.343,,,141,0,33,0,108,0,0,24,5091,400
Luke - Diel Drivers/2026-05-06/1_95,0.005,0.355,0.015,0.143,0.017,,0.01,,0.017,,,388,0,100,0,288,0,0,35,7572,400
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.43,0.445,0.855,0.562,0.0,0.165,,0.514,,1.0,313,1,91,0,199,0,22,23,5033,400
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-0.868,0.152,0.786,0.167,0.0,0.0,,0.167,,,541,6,40,0,495,0,0,22,5025,400
total,0.005,-1.367,0.341,0.726,0.415,0.0,0.119,0.455,0.44,,0.87,5053,12,627,1874,2418,0,122,223,50464,400
