fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.503,0.436,0.972,0.45,0.0,0.098,0.375,0.569,,0.25,2144,37,32,1,82,1256,801,0,4,27,7617,60
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.709,0.395,0.926,0.414,,0.213,0.265,0.634,,1.0,1031,33,28,0,94,618,261,0,58,32,7540,60
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.946,0.239,0.668,0.373,0.0,0.009,,0.307,,0.778,305,40,26,4,108,0,166,0,27,36,7562,60
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.786,0.305,0.706,0.459,,0.089,,0.4,,1.0,190,33,22,0,79,0,100,0,11,24,5024,60
Luke - Diel Drivers/2026-04-08/1_150,0.005,-2.021,0.177,0.503,0.222,,0.03,,0.222,,,141,30,21,0,33,0,108,0,0,24,5091,60
Luke - Diel Drivers/2026-05-06/1_95,0.005,-0.021,0.031,0.25,0.042,,0.0,,0.042,,,388,66,46,0,100,0,288,0,0,35,7572,60
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.759,0.325,0.812,0.407,0.0,0.127,,0.352,,0.909,313,24,14,1,91,0,199,0,22,23,5033,60
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-1.11,0.185,0.817,0.202,0.0,0.0,,0.202,,,541,32,28,6,40,0,495,0,0,22,5025,60
total,0.005,-1.482,0.262,0.707,0.321,0.0,0.071,0.32,0.341,,0.787,5053,295,217,12,627,1874,2418,0,122,223,50464,60
