fold,fpr,threshold,sensitivity,precision,buzz_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.59,0.426,0.971,2144,27,7617,162
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.835,0.425,0.931,1031,32,7540,174
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.899,0.18,0.624,305,33,6930,65
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.819,0.021,0.111,146,24,4947,26
Luke - Diel Drivers/2026-05-06/1_95,0.005,-0.401,0.037,0.31,433,35,7572,147
total,0.005,-1.509,0.218,0.589,4059,151,34606,147
