fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.435,0.431,0.971,0.445,0.0,0.098,0.367,0.568,,0.25,2144,37,32,1,82,1256,801,0,4,27,7617,400
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.705,0.411,0.929,0.432,,0.202,0.288,0.648,,1.0,1031,33,28,0,94,618,261,0,58,32,7540,400
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.733,0.265,0.69,0.395,0.0,0.042,,0.331,,0.788,305,40,26,4,108,0,166,0,27,36,7562,400
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.724,0.289,0.695,0.45,,0.063,,0.39,,1.0,190,33,22,0,79,0,100,0,11,24,5024,400
Luke - Diel Drivers/2026-04-08/1_150,0.005,-2.001,0.248,0.586,0.315,,0.03,,0.315,,,141,30,21,0,33,0,108,0,0,24,5091,400
Luke - Diel Drivers/2026-05-06/1_95,0.005,-0.16,0.026,0.218,0.031,,0.01,,0.031,,,388,66,46,0,100,0,288,0,0,35,7572,400
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.513,0.341,0.819,0.425,0.0,0.138,,0.372,,0.909,313,24,14,1,91,0,199,0,22,23,5033,400
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-1.187,0.206,0.833,0.225,0.0,0.0,,0.225,,,541,32,28,6,40,0,495,0,0,22,5025,400
total,0.005,-1.432,0.277,0.718,0.34,0.0,0.073,0.328,0.36,,0.789,5053,295,217,12,627,1874,2418,0,122,223,50464,400
