fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.409,0.454,0.973,0.468,0.0,0.122,0.382,0.603,,0.25,2144,37,32,1,82,1256,801,0,4,27,7617,400
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.705,0.407,0.928,0.423,,0.255,0.262,0.674,,1.0,1031,33,28,0,94,618,261,0,58,32,7540,400
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.838,0.269,0.693,0.42,0.0,0.009,,0.361,,0.778,305,40,26,4,108,0,166,0,27,36,7562,400
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.521,0.342,0.729,0.523,,0.089,,0.47,,1.0,190,33,22,0,79,0,100,0,11,24,5024,400
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.738,0.213,0.548,0.269,,0.03,,0.269,,,141,30,21,0,33,0,108,0,0,24,5091,400
Luke - Diel Drivers/2026-05-06/1_95,0.005,-0.602,0.067,0.419,0.087,,0.01,,0.087,,,388,66,46,0,100,0,288,0,0,35,7572,400
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.485,0.319,0.809,0.412,0.0,0.099,,0.357,,0.909,313,24,14,1,91,0,199,0,22,23,5033,400
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-1.488,0.347,0.893,0.379,0.0,0.0,,0.379,,,541,32,28,6,40,0,495,0,0,22,5025,400
total,0.005,-1.473,0.302,0.749,0.373,0.0,0.077,0.322,0.4,,0.787,5053,295,217,12,627,1874,2418,0,122,223,50464,400
