fold,fpr,threshold,sensitivity,precision,buzz_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-2.408,0.032,0.713,2144,27,7617,238
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-2.506,0.05,0.611,1031,32,7540,178
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-2.185,0.0,0.0,305,33,6930,82
Luke - Diel Drivers/2026-04-08/1_150,0.005,-2.18,0.0,0.0,146,24,4947,24
Luke - Diel Drivers/2026-05-06/1_95,0.005,-2.428,0.021,0.201,433,35,7572,180
total,0.005,-2.341,0.021,0.305,4059,151,34606,178
