fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.428,0.545,0.977,0.564,0.0,0.085,0.527,0.623,,0.25,2144,37,32,1,82,1256,801,0,4,27,7617,400
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.54,0.485,0.939,0.505,,0.277,0.381,0.69,,1.0,1031,33,28,0,94,618,261,0,58,32,7540,400
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.75,0.222,0.651,0.345,0.0,0.009,,0.262,,0.852,305,40,26,4,108,0,166,0,27,36,7562,400
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.658,0.369,0.744,0.56,,0.101,,0.512,,1.0,190,33,22,0,79,0,100,0,11,24,5024,400
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.848,0.206,0.54,0.269,,0.0,,0.269,,,141,30,21,0,33,0,108,0,0,24,5091,400
Luke - Diel Drivers/2026-05-06/1_95,0.005,0.417,0.013,0.122,0.017,,0.0,,0.017,,,388,66,46,0,100,0,288,0,0,35,7572,400
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.222,0.356,0.825,0.438,0.0,0.16,,0.391,,0.864,313,24,14,1,91,0,199,0,22,23,5033,400
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-0.959,0.164,0.798,0.179,0.0,0.0,,0.179,,,541,32,28,6,40,0,495,0,0,22,5025,400
total,0.005,-1.248,0.295,0.7,0.36,0.0,0.079,0.454,0.368,,0.793,5053,295,217,12,627,1874,2418,0,122,223,50464,400
