fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.736,0.575,0.978,0.594,0.0,0.08,0.519,0.714,,0.25,2047,37,32,1,75,1208,759,0,4,26,7303,700
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.665,0.454,0.935,0.474,,0.255,0.327,0.713,,1.0,991,30,25,0,91,596,251,0,53,31,7228,700
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-2.059,0.346,0.746,0.511,0.0,0.083,,0.449,,0.917,295,43,28,5,108,0,158,0,24,34,7256,700
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.363,0.332,0.725,0.533,,0.063,,0.489,,0.909,184,32,21,0,79,0,94,0,11,23,4817,700
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.954,0.343,0.665,0.452,,0.0,,0.452,,,137,29,20,0,33,0,104,0,0,23,4867,700
Luke - Diel Drivers/2026-05-06/1_95,0.005,-0.861,0.104,0.527,0.139,,0.0,,0.139,,,369,60,42,0,93,0,276,0,0,34,7262,700
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-0.848,0.31,0.806,0.391,0.0,0.106,,0.345,,0.783,304,23,14,1,85,0,195,0,23,22,4832,700
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-0.728,0.231,0.849,0.251,0.0,0.0,,0.251,,,521,33,31,6,35,0,480,0,0,21,4817,700
total,0.005,-1.402,0.337,0.779,0.418,0.0,0.073,0.423,0.444,,0.772,4848,287,213,13,599,1804,2317,0,115,214,48382,700
