fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.337,0.475,0.974,0.489,0.0,0.122,0.39,0.645,,0.25,2144,37,32,1,82,1256,801,0,4,27,7617,60
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.316,0.525,0.943,0.541,,0.362,0.411,0.747,,1.0,1031,33,28,0,94,618,261,0,58,32,7540,60
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.917,0.37,0.757,0.549,0.0,0.065,,0.5,,0.852,305,40,26,4,108,0,166,0,27,36,7562,60
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.196,0.405,0.761,0.559,,0.19,,0.51,,1.0,190,33,22,0,79,0,100,0,11,24,5024,60
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.58,0.232,0.57,0.303,,0.0,,0.303,,,141,30,21,0,33,0,108,0,0,24,5091,60
Luke - Diel Drivers/2026-05-06/1_95,0.005,-0.673,0.124,0.572,0.159,,0.02,,0.159,,,388,66,46,0,100,0,288,0,0,35,7572,60
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.215,0.387,0.837,0.516,0.0,0.077,,0.472,,0.909,313,24,14,1,91,0,199,0,22,23,5033,60
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-1.208,0.312,0.883,0.341,0.0,0.0,,0.341,,,541,32,28,6,40,0,495,0,0,22,5025,60
total,0.005,-1.305,0.354,0.787,0.432,0.0,0.104,0.4,0.46,,0.802,5053,295,217,12,627,1874,2418,0,122,223,50464,60
