fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.517,0.479,0.974,0.493,0.0,0.134,0.42,0.609,,0.25,2144,1,82,1256,801,0,4,27,7617,400
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.599,0.459,0.936,0.479,,0.266,0.339,0.693,,1.0,1031,0,94,618,261,0,58,32,7540,400
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.501,0.292,0.71,0.44,0.0,0.037,,0.38,,0.815,305,4,108,0,166,0,27,36,7562,400
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.231,0.337,0.726,0.486,,0.127,,0.43,,1.0,190,0,79,0,100,0,11,24,5024,400
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.246,0.177,0.503,0.213,,0.061,,0.213,,,141,0,33,0,108,0,0,24,5091,400
Luke - Diel Drivers/2026-05-06/1_95,0.005,0.077,0.052,0.358,0.062,,0.02,,0.062,,,388,0,100,0,288,0,0,35,7572,400
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.156,0.258,0.774,0.338,0.0,0.066,,0.279,,0.864,313,1,91,0,199,0,22,23,5033,400
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-0.909,0.207,0.833,0.226,0.0,0.0,,0.226,,,541,6,40,0,495,0,0,22,5025,400
total,0.005,-1.135,0.283,0.727,0.342,0.0,0.089,0.38,0.362,,0.786,5053,12,627,1874,2418,0,122,223,50464,400
