fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.653,0.464,0.973,0.479,0.0,0.08,0.384,0.631,,0.0,2047,37,32,1,75,1208,759,0,4,26,7303,400
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.747,0.465,0.937,0.487,,0.253,0.344,0.717,,1.0,991,30,25,0,91,596,251,0,53,31,7228,400
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.971,0.305,0.721,0.478,0.0,0.028,,0.411,,0.917,295,43,28,5,108,0,158,0,24,34,7256,400
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.669,0.327,0.722,0.516,,0.076,,0.48,,0.818,184,32,21,0,79,0,94,0,11,23,4817,400
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.831,0.248,0.59,0.327,,0.0,,0.327,,,137,29,20,0,33,0,104,0,0,23,4867,400
Luke - Diel Drivers/2026-05-06/1_95,0.005,-0.586,0.065,0.411,0.087,,0.0,,0.087,,,369,60,42,0,93,0,276,0,0,34,7262,400
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-0.898,0.308,0.805,0.406,0.0,0.059,,0.359,,0.81,304,23,14,1,85,0,195,0,23,22,4832,400
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-0.796,0.148,0.782,0.16,0.0,0.0,,0.16,,,521,33,31,6,35,0,480,0,0,21,4817,400
total,0.005,-1.394,0.291,0.743,0.368,0.0,0.062,0.364,0.396,,0.709,4848,287,213,13,599,1804,2317,0,115,214,48382,400
