fold,fpr,threshold,sensitivity,precision,buzz_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.618,0.44,0.972,2144,27,7617,140
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.781,0.408,0.928,1031,32,7540,150
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.914,0.233,0.682,305,33,6930,85
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.884,0.021,0.111,146,24,4947,23
Luke - Diel Drivers/2026-05-06/1_95,0.005,-0.328,0.035,0.296,433,35,7572,161
total,0.005,-1.505,0.227,0.598,4059,151,34606,140
