fold,fpr,threshold,sensitivity,precision,buzz_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.808,0.575,0.978,2046,26,7303,150
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,1.505,0.36,0.92,991,31,7228,150
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.594,0.176,0.621,296,31,6647,150
Luke - Diel Drivers/2026-04-08/1_150,0.005,-1.032,0.099,0.381,144,23,4761,150
Luke - Diel Drivers/2026-05-06/1_95,0.005,3.64,0.022,0.208,408,34,7264,150
total,0.005,0.142,0.246,0.622,3885,145,33203,150
