fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.502,0.442,0.972,0.456,0.0,0.098,0.383,0.572,,0.25,2144,37,32,1,82,1256,801,0,4,27,7617,400
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.734,0.408,0.928,0.429,,0.202,0.283,0.648,,1.0,1031,33,28,0,94,618,261,0,58,32,7540,400
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.849,0.235,0.664,0.371,0.0,0.0,,0.305,,0.778,305,40,26,4,108,0,166,0,27,36,7562,400
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.737,0.276,0.685,0.434,,0.055,,0.372,,1.0,190,33,22,0,79,0,100,0,11,24,5024,400
Luke - Diel Drivers/2026-04-08/1_150,0.005,-2.0,0.199,0.531,0.25,,0.03,,0.25,,,141,30,21,0,33,0,108,0,0,24,5091,400
Luke - Diel Drivers/2026-05-06/1_95,0.005,0.07,0.031,0.25,0.038,,0.01,,0.038,,,388,66,46,0,100,0,288,0,0,35,7572,400
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.539,0.294,0.796,0.371,0.0,0.11,,0.317,,0.864,313,24,14,1,91,0,199,0,22,23,5033,400
Luke - Various Opportunistic Recordings/2025-08-12/1_114,0.005,-1.169,0.215,0.839,0.235,0.0,0.0,,0.235,,,541,32,28,6,40,0,495,0,0,22,5025,400
total,0.005,-1.432,0.262,0.708,0.323,0.0,0.063,0.333,0.342,,0.778,5053,295,217,12,627,1874,2418,0,122,223,50464,400
