fold,fpr,threshold,sensitivity,precision,buzz_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.307,0.518,0.976,2144,27,7617,289
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.625,0.516,0.942,1031,32,7540,234
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.629,0.2,0.648,305,33,6930,234
Luke - Diel Drivers/2026-04-08/1_150,0.005,-2.092,0.199,0.547,146,24,4947,141
Luke - Diel Drivers/2026-05-06/1_95,0.005,0.305,0.009,0.101,433,35,7572,234
total,0.005,-1.27,0.288,0.643,4059,151,34606,234
