fold,fpr,threshold,sensitivity,precision,sensitivity_exclquiet,sensitivity_faint,sensitivity_quiet,sensitivity_background,sensitivity_untagged,sensitivity_normal,sensitivity_loud,buzz_frames,buzz_events,buzz_events_exclquiet,faint_frames,quiet_frames,background_frames,untagged_frames,normal_frames,loud_frames,neg_frames,frames_val,best_epoch
JamesU - MustardBumbler/1_29,0.005,-1.539,0.447,0.972,0.461,0.0,0.104,0.378,0.596,,0.211,10632,39,34,6,404,6306,3897,0,19,134,37587,400
Lily - Fit+Fast/2023_R3_Marysville/53,0.005,-1.682,0.38,0.924,0.395,,0.231,0.247,0.621,,0.993,5149,37,32,0,467,3106,1292,0,284,162,37587,400
Lily Adam - One Hive/recorders/willard/2024-08-07/1_11,0.005,-1.877,0.28,0.698,0.436,0.0,0.024,,0.382,,0.761,1494,48,32,24,542,0,794,0,134,180,37596,400
Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143,0.005,-1.73,0.328,0.719,0.499,,0.09,,0.453,,0.881,938,37,26,0,391,0,488,0,59,120,25050,400
Luke - Various Opportunistic Recordings/2025-07-03/1_37,0.005,-1.709,0.33,0.814,0.418,0.2,0.102,,0.369,,0.879,1553,26,15,5,427,0,1014,0,107,117,25063,400
total,0.005,-1.707,0.353,0.825,0.442,0.067,0.11,0.312,0.484,,0.745,19766,187,139,35,2231,9412,7485,0,603,713,162883,400
